,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
119,2,38,1,1,1,2,0.431133543,0.942462642,0.650001044,0.755560685,0.119811259
120,2,39,2,2,3,i,0,0.168246193,0.506818704,0.03960494,0.55247395
121,2,40,2,3,2,4,0.084108048,0.382422887,0.824760353,0.2086102,0.088642768
122,2,41,3,1,1,a,0.52264294,0.168246193,0.883716559,0.471565896,0.953863294
123,2,42,2,1,1,q,0.229681203,0.55872644,0.890650126,0.410822932,0.516796645
124,2,43,2,3,2,r,0.095658939,0.445248997,0.873713009,0.247341259,0.538528082
125,2,44,2,3,1,u,0.06349998,0.087388635,0.935927156,0.054526868,0.461104922
126,2,45,3,2,3,k,0.02338108,0.041422639,0.514963557,0,0.95831968
127,2,46,2,2,2,5,0.090571759,0.85830405,0.551991312,0.435011294,0.151084606
128,2,47,3,1,1,d,0.736803256,0.296560537,0.248000334,0.708173259,0.927111868
129,2,48,2,3,1,u,0.043590153,0.07159337,1,0.030734225,0.5267973
130,2,49,3,1,1,s,0.793899374,0.285557094,0.698723973,0.750251447,0.918185989
131,2,50,1,1,3,3,0.264174281,0.930145884,0.215984796,0.611864994,0.078851825
132,2,51,2,3,2,u,0.047659897,0.066872538,0.94693315,0.031888407,0.481119339
133,2,52,3,2,1,s,1,0.263443723,0.45398158,0.910320038,0.936024641
134,2,53,1,2,2,7,0.045206081,0.049763958,0.971994236,0.021929463,0.087594207
135,2,54,1,1,1,q,0.173582572,0.592091719,0.957751185,0.379956801,0.524660856
136,2,55,1,2,1,1,0.196305311,0.795655415,0.897980494,0.493297499,0
137,2,56,2,3,3,y,0.14012688,0.266176836,0.092997515,0.200893667,0.482141687
138,2,57,3,1,1,s,0.859254678,0.266176836,0.65712257,0.795248067,0.892863228
139,2,58,2,2,2,e,0.410306029,0.636708906,0.370966731,0.596349486,0.486270398
140,2,59,2,3,3,o,0.04596417,0.050473858,0.049975983,0.022885785,0.517858313
141,2,60,1,3,2,8,0.063978773,0.051858162,0.455923814,0.038417781,0.169513074
142,2,61,1,2,2,5,0.080417348,0.723423136,0.467034229,0.363963132,0.117884527
143,2,62,2,2,3,t,0.342955752,0.33837362,0.475408809,0.402084123,0.499993446
144,2,63,1,1,3,3,0.200075809,1,0.278178059,0.591337038,0.127911397
145,2,64,1,1,2,3,0.282089135,0.961807404,0.243113422,0.641379083,0.097188544
146,2,65,1,3,3,9,0.050951602,0.04678238,0.03059541,0.02529308,0.196421784
147,2,66,2,1,1,e,0.439312931,0.429915167,0.37731554,0.52426256,0.453424209
148,2,67,3,2,3,h,0.265151817,0.201788947,0,0.274316147,0.937505734
149,2,68,1,1,1,r,0.061604756,0.53512228,0.824092058,0.260944121,0.445310964
150,2,69,3,2,2,g,0.397937198,0.121747773,0.488670301,0.346897723,0.910714988
151,2,70,3,2,1,f,0.17811116,0.183438044,0.824092058,0.193869643,0.910714988
152,2,71,3,2,1,f,0.284622751,0.194831931,0.833343775,0.287193523,0.955357494
153,2,72,3,2,3,h,0.314667039,0.218010152,0.136854416,0.322791802,0.946431614
154,2,73,2,2,2,t,0.258528508,0.560394704,0.503957563,0.435439991,0.527229832
155,2,74,3,3,3,l,0.067410126,0.03208746,0.075663597,0.03205329,0.889848614
156,2,75,3,2,2,t,0.207477158,0.579171547,0.51803354,0.401968705,0.553574939
157,2,76,1,3,3,9,0.047520249,0.041458134,0.048347013,0.019983841,0.178570024
158,2,77,2,3,3,o,0.029605394,0.069854116,0.04059896,0.018367986,0.482141687
159,2,78,1,1,2,1,0.080656745,0.940048983,0.834972746,0.464789197,0.053568386
160,2,79,1,1,1,2,0.627319156,0.844496504,0.559634944,0.872215535,0.128343928
161,2,80,3,2,3,k,0.066811635,0.037979626,0.4417643,0.034295701,1
162,2,81,1,1,3,6,0.083130511,0.651226351,0.166823298,0.332668305,0.142853398
163,3,1,1,1,1,1,0.104475378,0.773679799,0.73419761,0.485184687,0.089911488
164,3,2,2,3,1,u,0,0.092723426,0.865648704,0.008965394,0.514300337
165,3,3,2,3,3,h,0.34159058,0.190556021,0.072306777,0.370808679,0.923365246
166,3,4,1,3,2,8,0.031681884,0.095158264,0.382901195,0.038797741,0.044632105
167,3,5,2,3,3,o,0.019433219,0.065900291,0,0.01138605,0.529443642
168,3,6,1,1,1,2,0.505612932,1,0.482697933,0.972700377,0.0703125
169,3,7,3,2,1,j,0.053060919,0.04414641,0.857617371,0.029361664,0.93850855
170,3,8,1,1,2,3,0.266477074,0.793956812,0.198502801,0.642123902,0.119550819
171,3,9,1,3,1,1,0.054383076,0.671935497,0.925908482,0.383068854,0.074933767
172,3,10,2,3,3,i,0.026517986,0.064343592,0.386594616,0.01685494,0.509799494
173,3,11,3,2,2,h,0.247717408,0.18616533,0.107233157,0.284001255,0.968810212
174,3,12,1,2,2,5,0.077907499,0.753442701,0.387784443,0.449973104,0.093087669
175,3,13,1,3,3,9,0.055256199,0.053446693,0.022036587,0.036556392,0.029473748
176,3,14,3,1,2,s,0.997929452,0.26088692,0.498909325,1,0.908206888
177,3,15,1,1,2,2,0.509729082,0.896140183,0.635912944,0.918078716,0.135537091
178,3,16,2,1,2,w,0.862844884,0.403265078,0.591145704,0.958579882,0.529443642
179,3,17,2,2,2,e,0.497854613,0.447730811,0.253210054,0.655616819,0.529443642
180,3,18,1,3,1,7,0.034026842,0.141859258,0.811214119,0.067128384,0.077899205
181,3,19,3,2,3,k,0.052561992,0.047219894,0.415869317,0.030639233,0.949045641
182,3,20,3,1,2,a,0.539789453,0.223526125,0.884537207,0.567397346,0.923365246
183,3,21,1,1,3,3,0.193184653,0.821418593,0.416687323,0.591715976,0.059775409
184,3,22,2,3,3,o,0.059871277,0.05572187,0.142828814,0.042002869,0.593584417
185,3,23,2,2,1,u,0.049892731,0.036682234,1,0.02232383,0.529443642
186,3,24,3,1,1,w,0.84797685,0.422264799,0.640523524,0.955890264,0.544601999
187,3,25,1,1,1,2,0.65703737,0.784057797,0.53594269,0.987493276,0.120378733
188,3,26,2,1,2,q,0.280846181,0.42605676,0.900029746,0.4484714,0.544601999
189,3,27,1,3,2,8,0.051364566,0.048776594,0.564027564,0.030415098,0.120378733
190,3,28,2,2,2,t,0.256797885,0.380752804,0.472212582,0.401425498,0.489342486
191,3,29,3,2,1,a,0.420446041,0.260048697,0.870011403,0.480679577,0.944755539
192,3,30,2,2,3,y,0.159532006,0.32403305,0.026151405,0.282185763,0.536503492
193,3,31,3,1,2,g,0.387541785,0.241368299,0.405706212,0.440649094,0.962277216
194,3,32,1,3,3,9,0.037219977,0.075280406,0.066803827,0.032611619,0.081090438
195,3,33,2,2,1,q,0.261113606,0.495709097,0.858856775,0.469853864,0.54384935
196,3,34,3,3,1,d,0.775457766,0.295373808,0.056095384,0.819459387,0.946832852
197,3,35,3,1,2,s,0.925659831,0.315610905,0.495315056,0.965797023,0.975117413
198,3,36,2,3,3,y,0.227186549,0.371692013,0.021788707,0.369732831,0.565239644
199,3,37,3,2,1,j,0.023349798,0.044106494,0.956422587,0.002622378,0.939983743
200,3,38,1,3,2,7,0.049643267,0.054883647,0.787938129,0.032320244,0.104106455
201,3,39,1,2,1,7,0.081100634,0.111124416,0.791086213,0.092186659,0.125015053
202,3,40,1,1,1,1,0.105198823,0.739911388,0.839026325,0.466895284,0.105822495
203,3,41,2,2,1,u,0.055780073,0.060391969,0.86250062,0.040927022,0.53487777
204,3,42,2,2,3,t,0.35675797,0.408933062,0.401591394,0.507060247,0.550066233
205,3,43,1,1,3,5,0.06815347,0.739152996,0.460165584,0.433185404,0.158989644
206,3,44,3,3,3,k,0.024322706,0.079551351,0.379802687,0.023422091,0.959944003
207,3,45,3,3,1,j,0.054058774,0.012852752,0.864186208,0.012686032,0.944755539
208,3,46,3,1,2,d,0.743725989,0.205125135,0.120544346,0.740294961,0.971098266
209,3,47,3,1,2,a,0.506910143,0.178421746,0.85789004,0.512529138,0.927489764
210,3,48,3,2,2,g,0.356608292,0.253063505,0.47543503,0.419401112,0.955653902
211,3,49,2,3,2,i,0.052088011,0.0620285,0.41200238,0.038528779,0.575445568
212,3,50,2,1,3,e,0.592825425,0.060591546,0.120792226,0.523556572,0.489342486
213,3,51,1,1,3,6,0.102754079,0.781662875,0.075777106,0.488143267,0.038701228
